Language,Articles,All pages,Edits,Admins,Users,Active users,Files
Kikuyu,1912,3801,22643,1,10090,14,0
Novial,1890,4829,180318,2,13294,22,0
Iban,1858,4979,15632,2,1683,26,0
Nias,1766,4462,25913,2,2644,14,0
Fanti,1762,4722,25300,2,2242,17,0
Wolof,1746,5568,107095,1,17065,29,0
Jamaican Creole English,1730,3132,22669,1,11645,18,0
Kabiye,1715,3449,18576,1,5614,13,0
Central Dusun,1715,7235,23028,3,2243,22,0
Angika,1669,5279,22722,1,3382,14,0
Kabardian,1639,7103,48528,2,11249,22,0
Fijian,1612,4352,38011,1,10462,14,0
Kalmyk,1596,12370,92227,1,11067,20,0
N’Ko,1581,3416,12669,1,5495,21,0
Kongo,1570,4025,48277,2,12501,27,0
Gun,1562,2780,43220,4,2234,17,0
Southern Sotho,1552,5429,35622,1,12267,43,0
Central Kanuri,1545,2437,27159,3,1061,18,0
Nigerian Pidgin,1526,2784,30407,4,3153,21,0
Bislama,1478,3442,43932,1,14991,18,0
Tyap,1462,6416,39295,2,2573,13,1
Tok Pisin,1406,5795,89431,1,15578,24,0
Aromanian,1389,4623,209132,1,15487,19,0
Tetum,1380,3953,69665,2,11035,13,0
Lojban,1348,5817,113603,1,19003,23,0
Frafra,1333,2528,20939,1,2003,24,0
Church Slavic,1312,5887,86583,1,28455,26,0
Mossi,1305,2089,31445,0,1293,16,0
Batak Toba,1277,2352,14611,2,2151,18,0
Ewe,1268,4252,59629,2,16602,16,0
Lak,1251,16232,54091,2,9477,16,0
Tahitian,1250,3077,54010,1,8471,12,0
Kusaal,1229,1820,14303,0,970,18,0
Taroko,1201,2210,104053,1,2777,17,0
Samoan,1198,6171,47630,1,11854,22,0
Sylheti,1195,6212,29256,1,1345,16,0
Batak Mandailing,1193,2681,11977,1,1298,20,0
Amis,1145,2253,47779,1,3356,18,0
Swati,1134,3486,42261,3,10041,22,0
Sranan Tongo,1128,2730,40007,1,8764,12,0
Latgalian,1112,3409,37114,1,8488,16,0
Southern Altai,1102,7012,48182,2,4211,12,0
Nyanja,1099,5418,48258,2,12293,22,0
Arakanese,1082,3228,16279,2,724,35,0
Guianan Creole,1075,2670,17600,1,4121,12,0
Cherokee,1004,4067,51112,1,29975,26,0
Pannonian Rusyn,992,2212,13502,1,1649,24,0
Gothic,979,3951,48398,2,22217,25,0
Tsonga,958,4258,39756,2,12190,28,0
Igala,949,1349,32889,0,1186,13,0
Bambara,921,3338,41868,1,12388,18,0
Venda,822,2418,21232,1,9148,13,0
Vlax Romani,756,2841,57062,1,19202,16,0
Cheyenne,720,2279,25385,1,13561,19,0
Rundi,703,2728,26820,1,11096,13,0
Wayuu,687,1350,17742,2,2379,43,0
Inupiaq,662,2872,40325,1,10043,13,0
Adyghe,620,4703,16423,1,9830,27,0
Chamorro,558,2589,24481,1,17910,17,0
Nupe,536,1046,17615,3,827,20,0
Pontic,489,2107,36254,1,12115,13,0
Tai Nuea,448,2193,7300,1,887,23,0
Obolo,433,893,4846,1,995,11,0
Inuktitut,430,3020,48649,2,34215,38,0
Dzongkha,378,5499,38317,1,12744,26,0
Paiwan,376,634,13006,1,2455,10,0
Sango,370,2066,21567,1,7635,17,0
Dinka,339,1128,9022,1,7426,8,0
Tigrinya,336,3032,25618,2,11002,17,0
Pali,290,1827,102880,1,8237,12,1
South Ndebele,275,857,5823,0,1168,23,0
West Coast Bajau,236,1321,5533,1,1211,14,0
Tigre,41,483,6441,1,1123,16,0
