Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
Karachay-Balkar,????????-???????,krc,2661,16830,120775,2,11689,32,0,203
Komering,Kumoring,kge,2660,4373,31165,0,1168,14,0,2
Pangasinan,Pangasinan,pag,2619,6741,79112,1,9511,25,0,29
Atayal,Tayal,tay,2582,3294,62846,1,2560,16,0,1
Awadhi,????,awa,2557,6231,29490,2,4696,33,0,9
Ingush,????????,inh,2412,16104,70918,2,5806,22,37,141
Xhosa,isiXhosa,xh,2319,5574,39854,1,15333,29,0,14
Atikamekw,Atikamekw,atj,2077,3290,16730,9,5791,20,0,1
Pennsylvania German,Deitsch,pdc,2045,6051,107235,1,37848,37,0,68
Tongan,lea faka-Tonga,to,2043,5536,43857,2,12408,14,12,23
Madurese,Madhurâ,mad,2002,11310,42013,4,4198,42,0,80
Mon,???????,mnw,1963,6794,47344,3,4934,16,0,42
Oromo,Oromoo,om,1962,5343,45246,1,13113,26,0,25
Aramaic,?????,arc,1916,6574,97162,2,23136,21,0,87
Kikuyu,G?k?y?,ki,1912,3801,22643,1,10090,14,0,5
Novial,Novial,nov,1890,4829,180318,2,13294,22,0,90
Iban,Jaku Iban,iba,1858,4979,15632,2,1683,26,0,8
Nias,Li Niha,nia,1766,4462,25913,2,2644,14,0,13
Fanti,mfantse,fat,1762,4722,25300,2,2242,17,0,15
Wolof,Wolof,wo,1746,5568,107095,1,17065,29,0,92
Jamaican Creole English,Patois,jam,1730,3132,22669,1,11645,18,0,4
Kabiye,Kab?y?,kbp,1715,3449,18576,1,5614,13,0,5
Central Dusun,Kadazandusun,dtp,1715,7235,23028,3,2243,22,0,32
Angika,??????,anp,1669,5279,22722,1,3382,14,0,20
Kabardian,????????,kbd,1639,7103,48528,2,11249,22,0,75
Fijian,Na Vosa Vakaviti,fj,1612,4352,38011,1,10462,14,0,25
Kalmyk,??????,xal,1596,12370,92227,1,11067,20,0,339
N’Ko,???,nqo,1581,3416,12669,1,5495,21,0,4
Kongo,Kongo,kg,1570,4025,48277,2,12501,27,0,29
Gun,gungbe,guw,1562,2780,43220,4,2234,17,0,9
Southern Sotho,Sesotho,st,1552,5429,35622,1,12267,43,0,40
Central Kanuri,Yerwa Kanuri,knc,1545,2437,27159,3,1061,18,0,3
Nigerian Pidgin,Naijá,pcm,1526,2784,30407,4,3153,21,0,7
Bislama,Bislama,bi,1478,3442,43932,1,14991,18,0,22
Tyap,Tyap,kcg,1462,6416,39295,2,2573,13,1,70
Tok Pisin,Tok Pisin,tpi,1406,5795,89431,1,15578,24,0,150
Aromanian,armãneashti,roa-rup,1389,4623,209132,1,15487,19,0,245
Tetum,tetun,tet,1380,3953,69665,2,11035,13,0,61
Lojban,la .lojban.,jbo,1348,5817,113603,1,19003,23,0,214
